condition,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,Glioblast,MC,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
CHIR1.5-SAG1000,0.02125919869174162,0.0,0.0,0.0,0.007358953393295176,0.004905968928863451,0.044971381847914965,0.0,0.001635322976287817,0.11365494685200327,0.419460343417825,0.38675388389206866,0.0,0.0
CHIR3,0.0,0.028963414634146343,0.0,0.001524390243902439,0.010670731707317074,0.0,0.0,0.0,0.001524390243902439,0.3429878048780488,0.614329268292683,0.0,0.0,0.0
CHIR3-SAG250,0.025974025974025976,0.0,0.0,0.0,0.015584415584415584,0.02077922077922078,0.03116883116883117,0.0,0.0,0.17662337662337663,0.548051948051948,0.18181818181818182,0.0,0.0
CHIR3-SAG1000,0.04208416833667335,0.0,0.0,0.0,0.004008016032064128,0.10420841683366733,0.04609218436873747,0.0,0.0,0.30060120240480964,0.23446893787575152,0.2685370741482966,0.0,0.0
CHIR SAG FGF4,0.0058309037900874635,0.0,0.0,0.0,0.0029154518950437317,0.03206997084548105,0.007288629737609329,0.0,0.0029154518950437317,0.27988338192419826,0.6341107871720116,0.03498542274052478,0.0,0.0
CHIR SAG FGF8,0.0,0.0016835016835016834,0.0,0.0,0.003367003367003367,0.0,0.0016835016835016834,0.0,0.03367003367003367,0.28114478114478114,0.6784511784511784,0.0,0.0,0.0
CHIR switch IWP2,0.0,0.1607981220657277,0.0,0.0,0.012910798122065728,0.0,0.0,0.0,0.0011737089201877935,0.24882629107981222,0.5762910798122066,0.0,0.0,0.0
CHIR-SAG-LDN,0.00945179584120983,0.011342155009451797,0.0,0.0,0.015122873345935728,0.022684310018903593,0.017013232514177693,0.0,0.0,0.15500945179584122,0.6710775047258979,0.09829867674858223,0.0,0.0
CHIR-SAG-d16-21,0.015533980582524271,0.0,0.0,0.0,0.009708737864077669,0.003883495145631068,0.021359223300970873,0.0,0.003883495145631068,0.1533980582524272,0.45436893203883494,0.3378640776699029,0.0,0.0
CHIR-SAGd10-21,0.0,0.0,0.0,0.0031496062992125984,0.004724409448818898,0.014173228346456693,0.006299212598425197,0.0,0.0,0.08346456692913386,0.8362204724409449,0.050393700787401574,0.0,0.0015748031496062992
