condition,confidence,n_nonzero_morphogens,fidelity
virtual_00256,0.025193009110388662,6,0.0
virtual_00257,0.01,6,0.0
virtual_00258,0.01,8,0.0
virtual_00259,0.04162002566614251,8,0.0
virtual_00260,0.01,6,0.0
virtual_00261,0.017573506900372866,6,0.0
virtual_00262,0.01,6,0.0
virtual_00263,0.01,7,0.0
virtual_00264,0.012553364726211283,5,0.0
virtual_00265,0.04391523452680967,8,0.0
virtual_00266,0.01,8,0.0
virtual_00267,0.09273951744366307,7,0.0
virtual_00268,0.029262579919631205,9,0.0
virtual_00269,0.06620125929450259,5,0.0
virtual_00270,0.07781520737869303,5,0.0
virtual_00271,0.01,6,0.0
virtual_00272,0.01,8,0.0
virtual_00273,0.011882778678079919,8,0.0
virtual_00274,0.01,8,0.0
virtual_00275,0.031621884009216575,6,0.0
virtual_00276,0.01,7,0.0
virtual_00277,0.01,8,0.0
virtual_00278,0.0764280143870626,7,0.0
virtual_00279,0.01,5,0.0
virtual_00280,0.01,4,0.0
virtual_00281,0.01,8,0.0
virtual_00282,0.2160270099739441,4,0.0
virtual_00283,0.016545218187064968,3,0.0
virtual_00284,0.01,9,0.0
virtual_00285,0.01,5,0.0
virtual_00286,0.01,5,0.0
virtual_00287,0.01,7,0.0
virtual_00288,0.03092106620641524,8,0.0
virtual_00289,0.027399815226756115,6,0.0
virtual_00290,0.01,6,0.0
virtual_00291,0.10462825595713812,8,0.0
virtual_00292,0.01,8,0.0
virtual_00293,0.01,6,0.0
virtual_00294,0.030157600090858015,6,0.0
virtual_00295,0.01,5,0.0
virtual_00296,0.06832084584482129,8,0.0
virtual_00297,0.03507128620607904,5,0.0
virtual_00298,0.056979681005962034,7,0.0
virtual_00299,0.01,7,0.0
virtual_00300,0.01,6,0.0
virtual_00301,0.08670159705642026,7,0.0
virtual_00302,0.11288468277437351,7,0.0
virtual_00303,0.03508725315130214,5,0.0
virtual_00304,0.01,8,0.0
virtual_00305,0.01,8,0.0
virtual_00306,0.01,7,0.0
virtual_00307,0.01866018139413531,9,0.0
virtual_00308,0.04510191926084504,8,0.0
virtual_00309,0.01,8,0.0
virtual_00310,0.01,6,0.0
virtual_00311,0.01,6,0.0
virtual_00312,0.016559761647259922,8,0.0
virtual_00313,0.010989109031211041,5,0.0
virtual_00314,0.02658318542799153,5,0.0
virtual_00315,0.01,5,0.0
virtual_00316,0.01,9,0.0
virtual_00317,0.010905975567445164,5,0.0
virtual_00318,0.08625922815420929,8,0.0
virtual_00319,0.03712592447734562,7,0.0
virtual_00320,0.01,8,0.0
virtual_00321,0.06105472430448678,7,0.0
virtual_00322,0.01,6,0.0
virtual_00323,0.01,5,0.0
virtual_00324,0.01,6,0.0
virtual_00325,0.01,6,0.0
virtual_00326,0.0911276552428629,4,0.0
virtual_00327,0.01,7,0.0
virtual_00328,0.01,9,0.0
virtual_00329,0.01,8,0.0
virtual_00330,0.01,7,0.0
virtual_00331,0.07486408268891373,6,0.0
virtual_00332,0.036867328302996265,7,0.0
virtual_00333,0.020441663103430215,6,0.0
virtual_00334,0.020643864300149712,8,0.0
virtual_00335,0.06055351147401545,7,0.0
virtual_00336,0.01,9,0.0
virtual_00337,0.01,5,0.0
virtual_00338,0.01,7,0.0
virtual_00339,0.014360491554953931,6,0.0
